Token Type,Lexeme,Line Number,Position
keyword,program,1,1
id,checkMyAbility,1,9
sym,;,1,23
keyword,var,2,1
id,counter,3,5
sym,:,3,12
keyword,integer,3,14
sym,;,3,21
id,number,4,5
sym,:,4,11
keyword,integer,4,13
sym,;,4,20
id,factorial,5,5
sym,:,5,14
keyword,integer,5,16
sym,;,5,23
id,height,6,5
sym,:,6,12
keyword,real,6,14
sym,;,6,18
id,width,7,5
sym,:,7,11
keyword,real,7,13
sym,;,7,17
id,breadth,8,5
sym,:,8,13
keyword,real,8,15
sym,;,8,19
id,volume,9,5
sym,:,9,12
keyword,real,9,14
sym,;,9,18
keyword,begin,10,1
id,number,11,5
sym,:=,11,12
intConst,6,11,15
sym,;,11,16
id,counter,12,5
sym,:=,12,13
id,number,12,16
sym,;,12,22
id,factorial,13,5
sym,:=,13,15
intConst,1,13,18
sym,;,13,19
keyword,while,15,5
id,counter,15,11
sym,>,15,19
intConst,0,15,21
keyword,do,15,23
keyword,begin,15,26
id,number,16,5
sym,:=,16,12
id,number,16,15
sym,*,16,22
id,counter,16,24
sym,;,16,31
id,counter,17,5
sym,:=,17,13
id,counter,17,16
sym,-,17,24
intConst,1,17,26
sym,;,17,27
keyword,end,18,5
sym,;,18,8
id,height,20,5
sym,:=,20,12
intConst,8.5,20,15
sym,;,20,18
id,width,21,5
sym,:=,21,11
intConst,4.5,21,14
sym,;,21,17
id,breadth,22,5
sym,:=,22,13
intConst,2.25,22,16
sym,;,22,20
id,volume,23,5
sym,:=,23,12
id,height,23,15
sym,*,23,22
id,width,23,24
sym,*,23,30
id,breadth,23,32
sym,;,23,39
keyword,if,25,5
id,volume,25,8
sym,>=,25,15
intConst,100,25,18
keyword,and,25,22
id,number,25,26
sym,<,25,33
intConst,5,25,35
keyword,then,25,37
keyword,begin,25,42
id,volume,26,9
sym,:=,26,16
id,volume,26,19
sym,/,26,26
intConst,4,26,28
sym,;,26,29
keyword,end,27,5
keyword,else,28,5
keyword,begin,28,10
keyword,if,29,9
id,volume,29,12
sym,>=,29,19
intConst,50,29,22
keyword,or,29,25
id,number,29,28
sym,<,29,35
intConst,10,29,37
keyword,then,29,40
keyword,begin,29,45
id,volume,30,9
sym,:=,30,16
id,volume,30,19
sym,/,30,26
intConst,2,30,28
sym,;,30,29
keyword,end,31,9
keyword,end,32,5
sym,;,32,8
keyword,write,34,5
sym,(,34,10
stringConst,Factorial of ,34,11
sym,),34,26
sym,;,34,27
keyword,write,35,5
sym,(,35,10
id,number,35,11
sym,),35,17
sym,;,35,18
keyword,write,36,5
sym,(,36,10
stringConst, is ,36,11
sym,),36,17
sym,;,36,18
keyword,writeln,37,5
sym,(,37,12
id,factorial,37,13
sym,),37,22
sym,;,37,23
keyword,write,38,5
sym,(,38,10
stringConst,Some odd value is: ,38,11
sym,),38,32
sym,;,38,33
keyword,writeln,39,5
sym,(,39,12
id,volume,39,13
sym,),39,19
sym,;,39,20
keyword,end,40,1
sym,.,40,4
